DBName,SqlCmd,MaxTime,AvgTime,TotTime,CNT
BSADBTW,(@result varchar(1) output)IF EXISTS (SELECT 1 FROM dbo.SWIFT_MTHeader_Main WHERE MT_KEY = N'323a81d3-e443-ef11-8efa-98f2b326dddb') SET @result = '1' ELSE SET @result = '0' ,1713,1713,1713,1
BSADBTW,"(@result varchar(1) output)IF EXISTS (SELECT 1 FROM dbo.SWIFT_MTHeader_Main WHERE MT_KEY = N'323a81d3-e443-ef11-8efa-98f2b326dddb') SET @result = '1' ELSE SET @result = '0' ",1713,1713,1713,1
BSADBTW,"(@result varchar(1) output)IF EXISTS (SELECT 1 FROM dbo.SWIFT_MTHeader_Main WHERE MT_KEY = N'3e17a2f3-e443-ef11-8efa-98f2b326dddb') SET @result = '1' ELSE SET @result = '0' ",1643,1643,1643,1
BSADBTW,"(@result varchar(1) output)IF EXISTS (SELECT 1 FROM dbo.SWIFT_MTHeader_Main WHERE MT_KEY = N'd0f7b2e1-e443-ef11-8efa-98f2b326dddb') SET @result = '1' ELSE SET @result = '0' ",1683,1683,1683,1
msdb,"ALTER INDEX [acct_xref_dim_idx] ON [BSADBTW].[dbo].[ACCT_XREF_DIM] REBUILD WITH (DATA_COMPRESSION = NONE, ONLINE = ON (WAIT_AT_LOW_PRIORITY (MAX_DURATION = 30, ABORT_AFTER_WAIT = SELF)), FILLFACTOR = 100, SORT_IN_TEMPDB = ON, MAXDOP = 1)",491,491,491,1
BSADBTW,"ALTER TABLE SARB2400244_ACCT_FACT ADD CONSTRAINT pk_SARB2400244_ACCT_FACT_ScenarioGroupLevel PRIMARY KEY (CIF_KEY, APPL, ACCT_KEY)",1192,789,3948,5
BSADBTW,"ALTER TABLE SARB2400277_ACCT_FACT ADD CONSTRAINT pk_SARB2400277_ACCT_FACT PRIMARY KEY (CIF_KEY, APPL, ACCT_KEY)",753,753,753,1
BSADBTW,"ALTER TABLE SARB2400283_ACCT_FACT ADD CONSTRAINT pk_SARB2400283_ACCT_FACT PRIMARY KEY (CIF_KEY, APPL, ACCT_KEY)",479,479,479,1
BSADBTW,ALTER TABLE SARB2400297_CUST_FACT ADD PRIMARY KEY (CIF_KEY),333,333,333,1
BSADBTW,CREATE INDEX SARB2400230_ACCT_FACT_IDX3 ON SARB2400230_ACCT_FACT (ATAXID),341,341,341,1
BSADBTW,"CREATE INDEX SARB2400244_TRXN_IDX9 ON SARB2400244_TRXN (PHONE_KEY, STYPE, AMTIN, AMTOT)",390,390,390,1
BSADBTW,CREATE INDEX SARB2400254_ACCT_FACT_IDX3 ON SARB2400254_ACCT_FACT (ATAXID),360,360,360,1
BSADBTW,CREATE INDEX SARB2400271_ACCT_FACT_IDX3 ON SARB2400271_ACCT_FACT (ATAXID),402,402,402,1
BSADBTW,CREATE INDEX SARB2400281_TRXN_IDX2 ON SARB2400281_TRXN (GROUPID),391,391,391,1
BSADBTW,CREATE INDEX SARB2400297_ACCT_FACT_IDX3 ON SARB2400297_ACCT_FACT (ATAXID),442,442,442,1
SOURCEDBTW,"delete  dbo.DUMMY_ACCT_FACT  where @@NCHAR13@@@@NCHAR10@@exists (select 1 @@NCHAR13@@@@NCHAR10@@,,from dbo.DUMMY_SOURCE X, dbo.CIF_CVT_Source Y @@NCHAR13@@@@NCHAR10@@,,where X.Cif_Key = Y.Cif_key @@NCHAR13@@@@NCHAR10@@,,AND dbo.DUMMY_ACCT_FACT.appl = X.Appl and dbo.DUMMY_ACCT_FACT.acct_key = X.Acct_Key@@NCHAR13@@@@NCHAR10@@,,AND dbo.DUMMY_ACCT_FACT.CIF_KEY = Y.Internal_Cif_Key)",743,407,2442,6
BSADBTW,DROP INDEX SARB2400246_MASTER.SARB2400246_MASTER_IDX1,463,453,906,2
BSADBTW,DROP INDEX SARB2400281_MASTER.SARB2400281_MASTER_IDX1,432,432,432,1
BSADBTW,DROP TABLE dbo.[TempHistoryTable_00213021],1500,1390,2780,2
BSADBTW,"IF OBJECT_ID('Temp_HRS_Log', 'U') IS NOT NULL",314,313,627,2
